nummer,titel,portal,unterbereich,docx,pdf,online_volltext,url,typ,version,status
"24","Wirkung als Rechtsprinzip und das Wirkungssteuergesetz als Rahmengesetz","Staat, Recht & Demokratie","Wirkung als Rechtsprinzip, WStG, Rahmenrecht, Steuerarchitektur","/assets/downloads/24_woek_staat_recht_demokratie_wirkung_als_rechtsprinzip_wstg_detailkonzept_v1_0.docx","/assets/downloads/24_woek_staat_recht_demokratie_wirkung_als_rechtsprinzip_wstg_detailkonzept_v1_0.pdf","docs/staat-recht-demokratie/go11-detailkonzepte/online_volltext_24_24_woek_staat_recht_demokratie_wirkung_als_rechtsprinzip_wstg_detailkonzept_v1_0.md","/wirkungsfelder/staat-recht-demokratie/wirkung-als-rechtsprinzip-wstg/","Detailkonzept","v1.0","veröffentlicht"
"25","Wirkungshaushalt und Wirkungsfolgenabschätzung","Staat, Recht & Demokratie","Wirkungshaushalt, öffentliche Mittel, Gesetzesfolgenabschätzung, Wirkungsprüfung","/assets/downloads/25_woek_staat_recht_demokratie_wirkungshaushalt_wirkungsfolgenabschaetzung_detailkonzept_v1_0.docx","/assets/downloads/25_woek_staat_recht_demokratie_wirkungshaushalt_wirkungsfolgenabschaetzung_detailkonzept_v1_0.pdf","docs/staat-recht-demokratie/go11-detailkonzepte/online_volltext_25_25_woek_staat_recht_demokratie_wirkungshaushalt_wirkungsfolgenabschaetzung_detailkonzept_v1_0.md","/wirkungsfelder/staat-recht-demokratie/wirkungshaushalt/","Detailkonzept","v1.0","veröffentlicht"
"26","Wirkungsrat, Governance, Rechtsschutz und demokratische Kontrolle","Staat, Recht & Demokratie","Wirkungsrat, Governance, Assurance, Rechtsschutz, demokratische Kontrolle","/assets/downloads/26_woek_staat_recht_demokratie_wirkungsrat_governance_rechtsschutz_detailkonzept_v1_0.docx","/assets/downloads/26_woek_staat_recht_demokratie_wirkungsrat_governance_rechtsschutz_detailkonzept_v1_0.pdf","docs/staat-recht-demokratie/go11-detailkonzepte/online_volltext_26_26_woek_staat_recht_demokratie_wirkungsrat_governance_rechtsschutz_detailkonzept_v1_0.md","/wirkungsfelder/staat-recht-demokratie/wirkungsrat-governance/","Detailkonzept","v1.0","veröffentlicht"
