nummer,titel,portal,unterbereich,docx,pdf,online_volltext,url,typ,version,stand,status
"27","Staat als Wirkungsarchitektur und Resilienzstaat","Staat, Recht & Demokratie","Staat als Wirkungsarchitektur, Resilienzstaat, öffentliche Steuerung, Institutionen","/assets/downloads/27_woek_staat_recht_demokratie_staat_als_wirkungsarchitektur_resilienzstaat_detailkonzept_v1_0.docx","/assets/downloads/27_woek_staat_recht_demokratie_staat_als_wirkungsarchitektur_resilienzstaat_detailkonzept_v1_0.pdf","docs/staat-recht-demokratie/go12-detailkonzepte/online_volltext_27_27_woek_staat_recht_demokratie_staat_als_wirkungsarchitektur_resilienzstaat_detailkonzept_v1_0.md","/wirkungsfelder/staat-recht-demokratie/staat-als-wirkungsarchitektur-resilienzstaat/","Detailkonzept","v1.0","24. Mai 2026","veröffentlicht"
"28","Grundrechte, Verhältnismäßigkeit und Schutz vor Technokratie","Staat, Recht & Demokratie","Grundrechte, Verhältnismäßigkeit, Rechtsschutz, Datenschutz, Technokratieschutz","/assets/downloads/28_woek_staat_recht_demokratie_grundrechte_verhaeltnismaessigkeit_technokratieschutz_detailkonzept_v1_0.docx","/assets/downloads/28_woek_staat_recht_demokratie_grundrechte_verhaeltnismaessigkeit_technokratieschutz_detailkonzept_v1_0.pdf","docs/staat-recht-demokratie/go12-detailkonzepte/online_volltext_28_28_woek_staat_recht_demokratie_grundrechte_verhaeltnismaessigkeit_technokratieschutz_detailkonzept_v1_0.md","/wirkungsfelder/staat-recht-demokratie/grundrechte-verhaeltnismaessigkeit-technokratieschutz/","Detailkonzept","v1.0","24. Mai 2026","veröffentlicht"
"29","Demokratie, Rechtsstaat und SDG+ als Wirkungsraum","Staat, Recht & Demokratie","Demokratie, Rechtsstaat, SDG+, institutionelles Vertrauen, gesellschaftlicher Zusammenhalt","/assets/downloads/29_woek_staat_recht_demokratie_demokratie_rechtsstaat_sdgplus_wirkungsraum_detailkonzept_v1_0.docx","/assets/downloads/29_woek_staat_recht_demokratie_demokratie_rechtsstaat_sdgplus_wirkungsraum_detailkonzept_v1_0.pdf","docs/staat-recht-demokratie/go12-detailkonzepte/online_volltext_29_29_woek_staat_recht_demokratie_demokratie_rechtsstaat_sdgplus_wirkungsraum_detailkonzept_v1_0.md","/wirkungsfelder/staat-recht-demokratie/demokratie-rechtsstaat-sdgplus-wirkungsraum/","Detailkonzept","v1.0","24. Mai 2026","veröffentlicht"
