no,title,slug,docx,pdf,online_volltext,portal
15,Produkte als Wirkungsträger,produkte-als-wirkungstraeger-lebenszyklus,word/15_woek_produkte_konsum_produkte-als-wirkungstraeger-lebenszyklus_detailkonzept_v1_0.docx,pdf/15_woek_produkte_konsum_produkte-als-wirkungstraeger-lebenszyklus_detailkonzept_v1_0.pdf,website/online_volltext_15_produkte-als-wirkungstraeger-lebenszyklus_detailkonzept_v1_0.md,Produkte & Konsum / Wirkungsumsatzsteuer
16,Wirkungsumsatzsteuer / Produktwirkungssteuer,wirkungsumsatzsteuer-produktwirkungssteuer,word/16_woek_produkte_konsum_wirkungsumsatzsteuer-produktwirkungssteuer_detailkonzept_v1_0.docx,pdf/16_woek_produkte_konsum_wirkungsumsatzsteuer-produktwirkungssteuer_detailkonzept_v1_0.pdf,website/online_volltext_16_wirkungsumsatzsteuer-produktwirkungssteuer_detailkonzept_v1_0.md,Produkte & Konsum / Wirkungsumsatzsteuer
17,"Produktscorecards, Reverse Merit Order und digitale Produktpässe",produktscorecards-reverse-merit-order-digitale-produktpaesse,word/17_woek_produkte_konsum_produktscorecards-reverse-merit-order-digitale-produktpaesse_detailkonzept_v1_0.docx,pdf/17_woek_produkte_konsum_produktscorecards-reverse-merit-order-digitale-produktpaesse_detailkonzept_v1_0.pdf,website/online_volltext_17_produktscorecards-reverse-merit-order-digitale-produktpaesse_detailkonzept_v1_0.md,Produkte & Konsum / Wirkungsumsatzsteuer
