nr,title,slug,docx,pdf,online_volltext,portal
18,Das Apfelbeispiel und die Produktwirkungsrechnung im Alltag,18_apfelbeispiel_produktwirkungsrechnung,word/18_woek_produkte_konsum_apfelbeispiel_produktwirkungsrechnung_detailkonzept_v1_0.docx,pdf/18_woek_produkte_konsum_apfelbeispiel_produktwirkungsrechnung_detailkonzept_v1_0.pdf,website/online_volltext_18_18_apfelbeispiel_produktwirkungsrechnung_detailkonzept_v1_0.md,Produkte & Konsum / Wirkungsumsatzsteuer
19,"Lieferketten, Importlogik und Wirkungsvorsteuer",19_lieferketten_importlogik_wirkungsvorsteuer,word/19_woek_produkte_konsum_lieferketten_importlogik_wirkungsvorsteuer_detailkonzept_v1_0.docx,pdf/19_woek_produkte_konsum_lieferketten_importlogik_wirkungsvorsteuer_detailkonzept_v1_0.pdf,website/online_volltext_19_19_lieferketten_importlogik_wirkungsvorsteuer_detailkonzept_v1_0.md,Produkte & Konsum / Wirkungsumsatzsteuer
20,Konzern- und Produktgruppenbeispiel: Von CSRD zur Produktscorecard,20_konzernbeispiel_csrd_produktscorecard,word/20_woek_produkte_konsum_konzernbeispiel_csrd_produktscorecard_detailkonzept_v1_0.docx,pdf/20_woek_produkte_konsum_konzernbeispiel_csrd_produktscorecard_detailkonzept_v1_0.pdf,website/online_volltext_20_20_konzernbeispiel_csrd_produktscorecard_detailkonzept_v1_0.md,Produkte & Konsum / Wirkungsumsatzsteuer
