nummer,title,subtitle,docx,pdf,online,slug
21,WÖk-IDs und Indikatorenarchitektur,"Wie Wirkungsdaten eindeutig, prüfbar, vergleichbar und rückkoppelbar werden",/assets/downloads/21_woek_impact_controlling_woek_ids_indikatorenarchitektur_methodenpapier_v1_0.docx,/assets/downloads/21_woek_impact_controlling_woek_ids_indikatorenarchitektur_methodenpapier_v1_0.pdf,/werkzeuge/impact-controlling/methodenpapiere/woek-ids-indikatorenarchitektur/,woek-ids-indikatorenarchitektur
22,"Scorecards, Benchmarks und Netto-Wirkungs-Index","Wie Wirkungsdaten zu prüfbaren Entscheidungen werden - ohne Kompensation, Scheingenauigkeit oder Personenbewertung",/assets/downloads/22_woek_impact_controlling_scorecards_benchmarks_nwi_methodenpapier_v1_0.docx,/assets/downloads/22_woek_impact_controlling_scorecards_benchmarks_nwi_methodenpapier_v1_0.pdf,/werkzeuge/impact-controlling/methodenpapiere/scorecards-benchmarks-nwi/,scorecards-benchmarks-nwi
23,T-SROI und Impact Controlling,Transformational Social Return on Investment als Steuerungsinstrument für systemische Wirkung,/assets/downloads/23_woek_impact_controlling_t_sroi_transformationsmessung_methodenpapier_v1_0.docx,/assets/downloads/23_woek_impact_controlling_t_sroi_transformationsmessung_methodenpapier_v1_0.pdf,/werkzeuge/impact-controlling/methodenpapiere/t-sroi-transformationsmessung/,t-sroi-transformationsmessung
