"object_id","primary_dip_id","all_dip_ids","source_ref_count","distinct_titles","responsible_ministries","date_span","shared_document_ids","strong_identity_anchor","explicit_official_same_measure_reference","review_result"
"govaction:dip:328937","328937","328937|328855|328820","10","3","Beauftr. der Bundesregierung für Kultur und Medien|Bundesministerium für Wirtschaft und Energie","2025-11-17..2025-12-18","BT 21/3000|BT 21/3375|BT 21/3050|BT 21/3030|BR 734/25|BT 734/25","dip_procedure_id","false","SPLIT_BY_OFFICIAL_PROCEDURE_ID"
"govaction:dip:329190","329190","329190|327878|327824|327277","19","4","Bundesministerium für Wirtschaft und Energie|Bundesministerium des Innern|Bundesministerium der Finanzen|Bundesministerium für Gesundheit","2025-10-22..2025-12-19","BR 743/25|BR 743/1/25|BR 1060|BR 743/25(B)|BR 629/25|BR 629/1/25|BR 629/25(B)|BR 626/25|BR 626/1/25|BR 626/25(B)|BR 596/25|BR 596/25(B)|BT 743/25|BT 743/1/25|1060|BT 743/25(B)|BT 629/25|BT 629/1/25|BT 629/25(B)|BT 626/25|BT 626/1/25|BT 626/25(B)|BT 596/25|BT 596/25(B)","dip_procedure_id","false","SPLIT_BY_OFFICIAL_PROCEDURE_ID"
"govaction:dip:329693","329693","329693|329554|329473|329374|329332|329330","21","6","Bundesministerium der Finanzen|Bundesministerium für Verkehr|Bundesministerium für Wirtschaft und Energie|Bundesministerium für Arbeit und Soziales|Bundesministerium des Innern","2025-12-04..2026-01-16","BT 21/3447|BR 1/26|BT 21/3687|BT 21/3150|BT 21/3362|BT 21/3299|BR 757/25|BR 758/25|BT 21/3310|BT 21/3245|BT 1/26|BT 757/25|BT 758/25","dip_procedure_id","false","SPLIT_BY_OFFICIAL_PROCEDURE_ID"
"govaction:dip:330377","330377","330377|330199|329817","11","3","Bundesministerium für Bildung, Familie, Senioren, Frauen und Jugend|Bundesministerium für Wirtschaft und Energie|Bundesministerium für Umwelt, Klimaschutz, Naturschutz und nukleare Sicherheit","2025-11-21..2026-01-30","BT 21/3450|BR 799/25|BT 21/3939|BT 21/3540|BR 794/25|BT 21/3385|BT 799/25|BT 794/25","dip_procedure_id","false","SPLIT_BY_OFFICIAL_PROCEDURE_ID"
"govaction:dip:331711","331711","331711|331144","9","2","Bundesministerium des Innern|Bundesministerium für Verkehr","2026-02-06..2026-05-08","BR 112/26|BT 21/4300|BT 21/4582|BR 103/26|BT 21/4250|BT 21/78|BT 112/26|BT 103/26","dip_procedure_id","false","SPLIT_BY_OFFICIAL_PROCEDURE_ID"
"govaction:dip:330467","330467","330467|332737","12","2","Bundesministerium für Forschung, Technologie und Raumfahrt|Bundesministerium für Familie, Senioren, Frauen und Jugend","2025-01-09..2026-04-17","BR 41/26|BR 41/1/26|BR 1062|BR 41/26(B)|BT 21/4500|BT 21/4784|BT 21/65|BT 20/14450|BT 21/72|BT 41/26|BT 41/1/26|1062|BT 41/26(B)","dip_procedure_id","false","SPLIT_BY_OFFICIAL_PROCEDURE_ID"
"govaction:dip:332369","332369","332369|332326","9","2","Bundesministerium für Landwirtschaft, Ernährung und Heimat|Bundesministerium für Verkehr","2026-03-03..2026-03-27","BT 21/4600|BR 153/26|BT 21/4865|BT 21/4490|BR 140/26|BT 21/69|BT 153/26|BT 140/26","dip_procedure_id","false","SPLIT_BY_OFFICIAL_PROCEDURE_ID"
"govaction:dip:331108","331108","331108|331106","10","3","Bundesministerium für Arbeit und Soziales","2026-02-12..2026-04-16","BR 87/26|BR 1063|BR 87/26(B)|BR 88/26|BR 88/26(B)|BT 87/26|1063|BT 87/26(B)|BT 88/26|BT 88/26(B)","dip_procedure_id","false","SPLIT_BY_OFFICIAL_PROCEDURE_ID"
"govaction:dip:333505","333505","333505|333510","8","2","Bundesministerium für Gesundheit|Bundesministerium für Verkehr","2026-03-25..2026-05-21","BT 21/5000|BT 21/5428|BT 21/4948|BT 21/6073|BT 21/80","dip_procedure_id","false","SPLIT_BY_OFFICIAL_PROCEDURE_ID"
"govaction:dip:334047","334047","334047|334046|334043|334038","15","4","Bundesministerium für Wirtschaft und Energie|Bundesministerium für Arbeit und Soziales","2026-03-27..2026-05-07","BT 21/5449|BR 220/26|BT 21/5849|BT 21/5450|BR 221/26|BT 21/5448|BT 21/5350|BR 222/26|BT 220/26|BT 221/26|BT 222/26","dip_procedure_id","false","SPLIT_BY_OFFICIAL_PROCEDURE_ID"
"govaction:dip:331113","331113","331113|334667|333101|331788","21","4","Bundesministerium für Arbeit und Soziales|Bundesministerium für Umwelt, Klimaschutz, Naturschutz und nukleare Sicherheit","2026-02-13..2026-05-08","BR 96/26|BR zu96/26|BR 96/1/26|BR 1063|BR 96/26(B)|BT 21/5140|BT 21/77|BR 244/26|BR 1065|BR 244/26(B)|BR 173/26|BR 173/26(B)|BR 110/26|BR 110/26(B)|BT 96/26|zu96/26|BT 96/1/26|1063|BT 96/26(B)|BT 244/26|1065|BT 244/26(B)|BT 173/26|BT 173/26(B)|BT 110/26|BT 110/26(B)","dip_procedure_id","false","SPLIT_BY_OFFICIAL_PROCEDURE_ID"
"govaction:dip:335484","335484","335484|335223|328465|335485","18","4","Bundesministerium für Gesundheit|Bundesministerium für Umwelt, Klimaschutz, Naturschutz und nukleare Sicherheit|Bundesministerium für Wirtschaft und Energie|Bundesministerium der Finanzen","2025-11-04..2026-06-26","BT 21/6180|BR 340/26|BT 21/6479|BR 308/26|BT 21/6210|BT 21/2810|BR 685/25|BR 349/26|BT 21/6269|BT 21/6100|BT 21/87|BT 340/26|BT 308/26|BT 685/25|BT 349/26","dip_procedure_id","false","SPLIT_BY_OFFICIAL_PROCEDURE_ID"
"govaction:dip:334378","334378","334378|333800","10","2","Bundesministerium für Arbeit und Soziales|Bundesministerium für Verkehr","2026-04-16..2026-06-12","BR 243/26|BR 1066|BR 243/26(B)|BR 214/26|BR 214/1/26|BR 214/2/26|BR 214/26(B)|BT 243/26|1066|BT 243/26(B)|BT 214/26|BT 214/1/26|BT 214/2/26|BT 214/26(B)","dip_procedure_id","false","SPLIT_BY_OFFICIAL_PROCEDURE_ID"
"govaction:dip:335856","335856","335856|335721|335716|335719|335717","19","5","Bundesministerium der Finanzen|Bundesministerium für Forschung, Technologie und Raumfahrt","2026-05-21..2026-07-10","BT 21/6320|BR 354/26|BT 21/6754|BT 21/6270|BR 348/26|BT 21/6275|BT 21/6172|BT 21/90|BT 21/6280|BT 354/26|BT 348/26","dip_procedure_id","false","SPLIT_BY_OFFICIAL_PROCEDURE_ID"
"govaction:dip:336982","336982","336982|336840|336796|336540","12","4","Beauftr. der Bundesregierung für Kultur und Medien|Bundesministerium für Bildung, Familie, Senioren, Frauen und Jugend|Bundesministerium für Wirtschaft und Energie","2026-06-11..2026-07-09","BT 21/6550|BT 21/7064|BT 21/6750|BT 21/6810|BT 21/6450","dip_procedure_id","false","SPLIT_BY_OFFICIAL_PROCEDURE_ID"
"govaction:dip:336643","336643","336643|335718","9","2","Bundesministerium für Wirtschaft und Energie|Auswärtiges Amt","2026-06-03..2026-07-10","BR 388/26|BR 388/1/26|BR 1067|BR 388/26(B)|BR 341/26|BR 341/26(B)|BT 388/26|BT 388/1/26|1067|BT 388/26(B)|BT 341/26|BT 341/26(B)","dip_procedure_id","false","SPLIT_BY_OFFICIAL_PROCEDURE_ID"
