nummer,titel,portal,version,docx,pdf,online_volltext,status
09,Resiliente Wertschöpfungsketten und Einkauf nach Wirkung,Wirtschaft & Unternehmen,v1.0,word/09_woek_wirtschaft_unternehmen_resiliente_wertschoepfungsketten_einkauf_detailkonzept_v1_0.docx,pdf/09_woek_wirtschaft_unternehmen_resiliente_wertschoepfungsketten_einkauf_detailkonzept_v1_0.pdf,website/online_volltext_09_resiliente-wertschoepfungsketten-und-einkauf-nach-wirkung_detailkonzept_v1_0.md,Detailkonzept veröffentlicht; Dossier in Arbeit
10,Wirkungscontrolling im Unternehmen,Wirtschaft & Unternehmen,v1.0,word/10_woek_wirtschaft_unternehmen_wirkungscontrolling_detailkonzept_v1_0.docx,pdf/10_woek_wirtschaft_unternehmen_wirkungscontrolling_detailkonzept_v1_0.pdf,website/online_volltext_10_wirkungscontrolling-im-unternehmen_detailkonzept_v1_0.md,Detailkonzept veröffentlicht; Dossier in Arbeit
11,"Produktentwicklung, Produktscorecards und digitale Produktpässe",Wirtschaft & Unternehmen,v1.0,word/11_woek_wirtschaft_unternehmen_produktentwicklung_produktscorecards_dpp_detailkonzept_v1_0.docx,pdf/11_woek_wirtschaft_unternehmen_produktentwicklung_produktscorecards_dpp_detailkonzept_v1_0.pdf,website/online_volltext_11_produktentwicklung-produktscorecards-und-digitale-produktpaesse_detailkonzept_v1_0.md,Detailkonzept veröffentlicht; Dossier in Arbeit
