nr,title,slug,url,docx,pdf,online_volltext
06,Unternehmen als Wirkungssysteme,unternehmen-als-wirkungssysteme,/wirkungsfelder/wirtschaft-unternehmen/unternehmen-als-wirkungssysteme/,06_woek_wirtschaft_unternehmen_unternehmen_als_wirkungssysteme_detailkonzept_v1_0.docx,06_woek_wirtschaft_unternehmen_unternehmen_als_wirkungssysteme_detailkonzept_v1_0.pdf,
07,Wirkungsorientierte Unternehmensführung inkl. Mitarbeiterführung,wirkungsorientierte-unternehmensfuehrung,/wirkungsfelder/wirtschaft-unternehmen/wirkungsorientierte-unternehmensfuehrung/,07_woek_wirtschaft_unternehmen_wirkungsorientierte_unternehmensfuehrung_detailkonzept_v1_0.docx,07_woek_wirtschaft_unternehmen_wirkungsorientierte_unternehmensfuehrung_detailkonzept_v1_0.pdf,
08,"Wirkungsorientiertes Risikomanagement, Resilienz und Finanzmarktanforderungen",risikomanagement-resilienz-finanzmarkt,/wirkungsfelder/wirtschaft-unternehmen/risikomanagement-resilienz-finanzmarkt/,08_woek_wirtschaft_unternehmen_risikomanagement_resilienz_finanzmarkt_detailkonzept_v1_0.docx,08_woek_wirtschaft_unternehmen_risikomanagement_resilienz_finanzmarkt_detailkonzept_v1_0.pdf,
09,Resiliente Wertschöpfungsketten und Einkauf nach Wirkung,wertschoepfungsketten-einkauf,/wirkungsfelder/wirtschaft-unternehmen/wertschoepfungsketten-einkauf/,09_woek_wirtschaft_unternehmen_resiliente_wertschoepfungsketten_einkauf_detailkonzept_v1_0.docx,09_woek_wirtschaft_unternehmen_resiliente_wertschoepfungsketten_einkauf_detailkonzept_v1_0.pdf,
10,Wirkungscontrolling im Unternehmen,wirkungscontrolling,/wirkungsfelder/wirtschaft-unternehmen/wirkungscontrolling/,10_woek_wirtschaft_unternehmen_wirkungscontrolling_detailkonzept_v1_0.docx,10_woek_wirtschaft_unternehmen_wirkungscontrolling_detailkonzept_v1_0.pdf,
11,"Produktentwicklung, Produktscorecards und digitale Produktpässe",produktentwicklung-produktscorecards-produktpaesse,/wirkungsfelder/wirtschaft-unternehmen/produktentwicklung-produktscorecards-produktpaesse/,11_woek_wirtschaft_unternehmen_produktentwicklung_produktscorecards_dpp_detailkonzept_v1_0.docx,11_woek_wirtschaft_unternehmen_produktentwicklung_produktscorecards_dpp_detailkonzept_v1_0.pdf,
12,"Marketing, Vertrieb und das fünfte P: Planet",marketing-vertrieb-fuenftes-p-planet,/wirkungsfelder/wirtschaft-unternehmen/marketing-vertrieb-fuenftes-p-planet/,12_woek_wirtschaft_unternehmen_marketing_vertrieb_fuenftes_p_planet_detailkonzept_v1_0.docx,12_woek_wirtschaft_unternehmen_marketing_vertrieb_fuenftes_p_planet_detailkonzept_v1_0.pdf,
13,"Bilanz, Finanzierung und Finanzkommunikation nach Wirkung",bilanz-finanzierung-finanzkommunikation,/wirkungsfelder/wirtschaft-unternehmen/bilanz-finanzierung-finanzkommunikation/,13_woek_wirtschaft_unternehmen_bilanz_finanzierung_finanzkommunikation_nach_wirkung_detailkonzept_v1_0.docx,13_woek_wirtschaft_unternehmen_bilanz_finanzierung_finanzkommunikation_nach_wirkung_detailkonzept_v1_0.pdf,
14,"Transformation, KMU-Tauglichkeit und Übergangspfade",transformation-kmu-uebergangspfade,/wirkungsfelder/wirtschaft-unternehmen/transformation-kmu-uebergangspfade/,14_woek_wirtschaft_unternehmen_transformation_kmu_tauglichkeit_uebergangspfade_detailkonzept_v1_0.docx,14_woek_wirtschaft_unternehmen_transformation_kmu_tauglichkeit_uebergangspfade_detailkonzept_v1_0.pdf,
