nummer,titel,slug,portal,dokumenttyp,version,word,pdf,online_volltext
12,"Marketing, Vertrieb und das fünfte P: Planet",marketing-vertrieb-fuenftes-p-planet,Wirtschaft & Unternehmen,Detailkonzept,v1.0,word/12_woek_wirtschaft_unternehmen_marketing_vertrieb_fuenftes_p_planet_detailkonzept_v1_0.docx,pdf/12_woek_wirtschaft_unternehmen_marketing_vertrieb_fuenftes_p_planet_detailkonzept_v1_0.pdf,website/online_volltext_12_marketing-vertrieb-fuenftes-p-planet_detailkonzept_v1_0.md
13,"Bilanz, Finanzierung und Finanzkommunikation nach Wirkung",bilanz-finanzierung-finanzkommunikation-nach-wirkung,Wirtschaft & Unternehmen,Detailkonzept,v1.0,word/13_woek_wirtschaft_unternehmen_bilanz_finanzierung_finanzkommunikation_nach_wirkung_detailkonzept_v1_0.docx,pdf/13_woek_wirtschaft_unternehmen_bilanz_finanzierung_finanzkommunikation_nach_wirkung_detailkonzept_v1_0.pdf,website/online_volltext_13_bilanz-finanzierung-finanzkommunikation-nach-wirkung_detailkonzept_v1_0.md
14,"Transformation, KMU-Tauglichkeit und Übergangspfade",transformation-kmu-tauglichkeit-uebergangspfade,Wirtschaft & Unternehmen,Detailkonzept,v1.0,word/14_woek_wirtschaft_unternehmen_transformation_kmu_tauglichkeit_uebergangspfade_detailkonzept_v1_0.docx,pdf/14_woek_wirtschaft_unternehmen_transformation_kmu_tauglichkeit_uebergangspfade_detailkonzept_v1_0.pdf,website/online_volltext_14_transformation-kmu-tauglichkeit-uebergangspfade_detailkonzept_v1_0.md
