nummer,titel,portal,unterbereich,version,docx,pdf,online_volltext,status
06,Unternehmen als Wirkungssysteme,Wirtschaft & Unternehmen,Unternehmen als Wirkungssysteme,v1.0,word/06_woek_wirtschaft_unternehmen_unternehmen_als_wirkungssysteme_detailkonzept_v1_0.docx,pdf/06_woek_wirtschaft_unternehmen_unternehmen_als_wirkungssysteme_detailkonzept_v1_0.pdf,website/online_volltext_06_unternehmen_als_wirkungssysteme_detailkonzept_v1_0.md,Detailkonzept veröffentlicht; Dossier in Arbeit
07,Wirkungsorientierte Unternehmensführung inkl. Mitarbeiterführung,Wirtschaft & Unternehmen,Wirkungsorientierte Unternehmensführung und Mitarbeiterführung,v1.0,word/07_woek_wirtschaft_unternehmen_wirkungsorientierte_unternehmensfuehrung_detailkonzept_v1_0.docx,pdf/07_woek_wirtschaft_unternehmen_wirkungsorientierte_unternehmensfuehrung_detailkonzept_v1_0.pdf,website/online_volltext_07_wirkungsorientierte_unternehmensfuehrung_detailkonzept_v1_0.md,Detailkonzept veröffentlicht; Dossier in Arbeit
08,"Wirkungsorientiertes Risikomanagement, Resilienz und Finanzmarktanforderungen",Wirtschaft & Unternehmen,"Risikomanagement, Resilienz und Finanzmarktanforderungen",v1.0,word/08_woek_wirtschaft_unternehmen_risikomanagement_resilienz_finanzmarkt_detailkonzept_v1_0.docx,pdf/08_woek_wirtschaft_unternehmen_risikomanagement_resilienz_finanzmarkt_detailkonzept_v1_0.pdf,website/online_volltext_08_risikomanagement_resilienz_finanzmarkt_detailkonzept_v1_0.md,Detailkonzept veröffentlicht; Dossier in Arbeit
