nummer,titel,portal,unterbereich,slug,url,docx,pdf,online_volltext,typ,version,stand,status
"30","Kapital als Wirkungskraft und Kapitalwirkung statt Kapitalrendite","Finanzsystem & Kapital","Kapital als Wirkungskraft und Kapitalwirkung statt Kapitalrendite","kapitalwirkung","/wirkungsfelder/finanzsystem-kapital/kapitalwirkung/","/assets/downloads/30_woek_finanzsystem_kapital_kapitalwirkung_statt_kapitalrendite_detailkonzept_v1_0.docx","/assets/downloads/30_woek_finanzsystem_kapital_kapitalwirkung_statt_kapitalrendite_detailkonzept_v1_0.pdf","docs/finanzsystem-kapital/go13-detailkonzepte/online_volltext_30_30_woek_finanzsystem_kapital_kapitalwirkung_statt_kapitalrendite_detailkonzept_v1_0.md","Detailkonzept","v1.0","2026-05-24","veröffentlicht"
"31","Wirkungsfonds als Dacharchitektur","Finanzsystem & Kapital","Wirkungsfonds als Dacharchitektur","wirkungsfonds","/wirkungsfelder/finanzsystem-kapital/wirkungsfonds/","/assets/downloads/31_woek_finanzsystem_kapital_wirkungsfonds_dacharchitektur_detailkonzept_v1_0.docx","/assets/downloads/31_woek_finanzsystem_kapital_wirkungsfonds_dacharchitektur_detailkonzept_v1_0.pdf","docs/finanzsystem-kapital/go13-detailkonzepte/online_volltext_31_31_woek_finanzsystem_kapital_wirkungsfonds_dacharchitektur_detailkonzept_v1_0.md","Detailkonzept","v1.0","2026-05-24","veröffentlicht"
"32","Portfolio-Wirkungsrating, Banken, Versicherungen und Kapitalzugang","Finanzsystem & Kapital","Portfolio-Wirkungsrating, Banken, Versicherungen und Kapitalzugang","portfolio-banken-versicherungen-kapitalzugang","/wirkungsfelder/finanzsystem-kapital/portfolio-banken-versicherungen-kapitalzugang/","/assets/downloads/32_woek_finanzsystem_kapital_portfolio_banken_versicherungen_kapitalzugang_detailkonzept_v1_0.docx","/assets/downloads/32_woek_finanzsystem_kapital_portfolio_banken_versicherungen_kapitalzugang_detailkonzept_v1_0.pdf","docs/finanzsystem-kapital/go13-detailkonzepte/online_volltext_32_32_woek_finanzsystem_kapital_portfolio_banken_versicherungen_kapitalzugang_detailkonzept_v1_0.md","Detailkonzept","v1.0","2026-05-24","veröffentlicht"
