go,paket,rang,portal,nummer,titel,unterbereich,slug,url,dokumenttyp,typ,version,stand,status,docx,pdf,online_volltext
"14","12","12","Finanzsystem & Kapital","33","ESG-Ratings, Börsen und Impact Exchange","ESG-Ratings, Börsen und Impact Exchange","esg-ratings-boersen-impact-exchange","/wirkungsfelder/finanzsystem-kapital/esg-ratings-boersen-impact-exchange/","Detailkonzept","Detailkonzept","v1.0","2026-05-24","veroeffentlicht","/assets/downloads/33_woek_finanzsystem_kapital_esg_ratings_boersen_impact_exchange_detailkonzept_v1_0.docx","/assets/downloads/33_woek_finanzsystem_kapital_esg_ratings_boersen_impact_exchange_detailkonzept_v1_0.pdf","docs/finanzsystem-kapital/go14-detailkonzepte/online_volltext_33_esg-ratings-boersen-impact-exchange_detailkonzept_v1_0.md"
"14","12","12","Finanzsystem & Kapital","34","Bürger:innenfonds, Wirkungsrente und Teilhabe am Kapital","Bürger:innenfonds, Wirkungsrente und Teilhabe am Kapital","buergerinnenfonds-wirkungsrente-kapitalteilhabe","/wirkungsfelder/finanzsystem-kapital/buergerinnenfonds-wirkungsrente-kapitalteilhabe/","Detailkonzept","Detailkonzept","v1.0","2026-05-24","veroeffentlicht","/assets/downloads/34_woek_finanzsystem_kapital_buergerinnenfonds_wirkungsrente_kapitalteilhabe_detailkonzept_v1_0.docx","/assets/downloads/34_woek_finanzsystem_kapital_buergerinnenfonds_wirkungsrente_kapitalteilhabe_detailkonzept_v1_0.pdf","docs/finanzsystem-kapital/go14-detailkonzepte/online_volltext_34_buergerinnenfonds-wirkungsrente-kapitalteilhabe_detailkonzept_v1_0.md"
"14","12","12","Finanzsystem & Kapital","35","Wirkungsorientierte Steuer- und Abgabenarchitektur des Kapitals","Wirkungsorientierte Steuer- und Abgabenarchitektur des Kapitals","steuer-abgabenarchitektur-kapital","/wirkungsfelder/finanzsystem-kapital/steuer-abgabenarchitektur-kapital/","Detailkonzept","Detailkonzept","v1.0","2026-05-24","veroeffentlicht","/assets/downloads/35_woek_finanzsystem_kapital_steuer_abgabenarchitektur_kapital_detailkonzept_v1_0.docx","/assets/downloads/35_woek_finanzsystem_kapital_steuer_abgabenarchitektur_kapital_detailkonzept_v1_0.pdf","docs/finanzsystem-kapital/go14-detailkonzepte/online_volltext_35_steuer-abgabenarchitektur-kapital_detailkonzept_v1_0.md"
